caption,is_event
"Catch the box before it hits you! 📦 Let’s come up with new ideas to improve our faculty! 🗣️

Join us at the FAC Townhall & RSVP now❗️

🗓️Date: 30th April 2025
📍Venue: CNMX 1005 
🕗Time: 8pm to 10pm

It’s a safe space for worries to be heard and questions to be answered! An open mind will ensure an open community within the faculty 🫵🏼✨ 

#writeyourstorywithcommsoc #yourstorybeginshere #commsoc",1
"Calling the FAC All Stars 🌟  Join us, Communication Society at the FAC Townhall Safe Space event❗️

Get your voice ready to speak up 🔊 about any issues and problems concerning the student life waiting for you.

This is a safe space for you to just talk to friendly faces ready to answer all your questions. 🗣️ 

Scan the QR code for RSVP !!

#writeyourstorywithcommsoc #yourstorybeginshere #commsoc",0
"We are calling for YOU to come and join us this Wednesday on the 30th of April 2025 for the FAC Townhall 🗣️

Pick up the call and step into the Safe Space to speak up about any of your concerns regarding the student life! ✨

Worry not! Your voices will be heard and question will be answered by friendly faces! 

#writeyourstorywithcommsoc #yourstorybeginshere #commsoc",0
"Calling all Future Stars 🌟 (and supportive parents too!) Join us, Communication Society at MMU LAND S.E.E Day ❗️

Get a sneak 🫣 into the student life, creative opportunities and community waiting for you.

There’ll be bunch of friendly faces ready to answer all your questions. 🗣️

Come explore, connect and maybe even start your story with us 📝 

#writeyourstorywithcommsoc #yourstorybeginshere #commsoc",0
"✨ 𝐎𝐧𝐜𝐞 𝐔𝐩𝐨𝐧 𝐀 𝐒𝐭𝐚𝐠𝐞: 𝐖𝐡𝐞𝐫𝐞 𝐃𝐫𝐞𝐚𝐦𝐬 𝐂𝐨𝐦𝐞 𝐓𝐫𝐮𝐞 ✨

Get ready to embrace the magic with us! 🌟

📅 Date: 𝟭𝘀𝘁 𝗝𝘂𝗻𝗲 𝟮𝟬𝟮𝟱 (𝗦𝘂𝗻𝗱𝗮𝘆)
🕖 Time: 𝟳:𝟯𝟬 𝗣𝗠 – 𝟭𝟭:𝟬𝟬 𝗣𝗠
📍 Venue: 𝗗𝗲𝘄𝗮𝗻 𝗧𝘂𝗻 𝗖𝗮𝗻𝘀𝗲𝗹𝗼𝗿, 𝗠𝘂𝗹𝘁𝗶𝗺𝗲𝗱𝗶𝗮 𝗨𝗻𝗶𝘃𝗲𝗿𝘀𝗶𝘁𝘆 (𝗠𝗠𝗨) 𝗖𝘆𝗯𝗲𝗿𝗷𝗮𝘆𝗮

An enchanting night awaits — don’t miss it! 🌟🏰 

#onceuponastage #mmu #embracethemagic #performingarts",1
"Once upon a time, we dreamed of magical moments🪄...
And now, that dream might just come true✨

#OnceUponAStage #performingarts #magical",0
"Hey everyone! We're on the lookout for passionate individuals to join the BarCamp Cyberjaya 2025 organizing committee. If you love dynamic discussions, knowledge-sharing, and creating impactful events, this is your chance to be part of something amazing!

Why Join Us?
1 🏆 Committee Certificate – Get official recognition for your contributions.
2 🎁 Exclusive Event Kit – Cool swag like event shirts and merch.
3 🤝 Expand Your Network – Connect with industry experts and like-minded peers.
4 📚 Build Valuable Skills – Learn event management, marketing, and leadership.
5 👥 Teamwork & Collaboration – Work with an amazing team to make this event a success.
6 💡 Explore New Topics – Discover insights into SciTech, Creative Innovation, and General Discussions.
7 🚀 Make an Impact – Help shape Malaysia’s biggest student-led tech event!
🎉 And so much more!

📆Application Period: 23 March - 20 April
Apply here: https://forms.gle/ZEkBYghGCRAEe9qi6

If you have any queries, do not hesitate to contact us via email below:
Wong Kai Shen, Director 
(wong.kai.shen@student.mmu.edu.my)
Khor Yan Ru, Vice Director 
(1211112328@student.mmu.edu.my)",1
"Curious how IT drives real business impact?
Wanna learn the real skills that make grads stand out?

Come join us at the IT in BUSINESS: REAL SKILLS FOR REAL IMPACT webinar by UniPin!

Date: 12 May 2025 (Monday)
Time: 4:00 PM – 5:15 PM
Venue: Zoom (Online)
Fee: FREE!

Featuring a talk by:
◆ Ganesh Patmanathan (Deputy CTO, UniPin)
Gain insights from 25+ years of industry experience in digital transformation and IT strategy.

What you’ll learn:
-  How IT transforms business
- Top tech + soft skills for career success
- What hiring managers actually look for

Beginner-friendly, practical, and packed with career value.
Final-year students & fresh grads — this one’s for you!

Register now at: https://forms.office.com/Pages/ResponsePage.aspx?id=z18LfsQS_06WtkZk8l3H2vGEEbMbc-FLgcrqNpLwDcdUNUZWTDExQjRGVzk4SUwyS1dIR0laTURQTi4u&origin=QRCode",1
"It’s been a chill week, we just wanna say THANK YOU, to all who participated, and those who were just chillin’. 🚶🏽

We appreciate you guys, and stay tuned for the reveal of your dumps. 😉🙌🏻 
#cmcmmu #mmu #cyberjaya #multimediauniversity #creativemultimedia #fcmmmu",0
"Solidity Smart Contract Workshop brought to you by MMU’s IT Society and APUBCC! 🔐💻

​Here’s what you can look forward to:

​✅ Introduction to smart contracts and their real-world applications

​✅ Beginner-friendly hands-on experience with Solidity(primary language for smart contracts)

​✅Increase your understanding of connected technologies such as cryptocurrency.

​✅ Connect and collaborate with blockchain enthusiasts at MMU

​This is the perfect opportunity to build your blockchain skills, get practical coding experience, and explore the future of decentralized technology 🌍!

​𝐃𝐞𝐭𝐚𝐢𝐥𝐬:

​📅 𝐃𝐚𝐭𝐞: 21st April 2025
🕖 𝐓𝐢𝐦𝐞: 7:00 PM – 9:30 PM
📍 𝐕𝐞𝐧𝐮𝐞: Agmo Space, FCM, MMU Cyberjaya

Register now : https://lu.ma/dis31hrl",1
